id,razao,cnpj,contato,telefone,celular,cidade,estado,email,cond_pgto,cond_transporte,cep,end_numero,complemento,logradouro,bairro
211,"FM COMERCIO DE EQUIPAMENTOS LTDA",22.580.319/0001-76,EVANDRO,(21)3620-5873,"(21) 99709-9148","Rio de Janeiro",RJ,comercial3@fmcomercio.com,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",21041020,00424,EMPRESA,"AVENIDA PARIS",BONSUCESSO
212,"COMERCIAL NOVA VICHIETTI LTDA",45.354.070/0001-86,THAINA,"(11)4271-4690 ","(11) 97262-2465",Poá,SP,comercial2@comercialvichietti.com.b,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",08557700,411,EMPRESA,"RODOVIA JOAO AFONSO DE SOUZA CASTELLANO","VILA LUCIA"
213,"S LOPES COMERCIAL",06.177.065/0001-93,SIDNEY," (22)3323-2100",(22)99719-8697,Araruama,RJ,dilion.vendas@gmail.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",28970000,56,"CASA 101 - SETOR 0501","RUA LEOPOLDO MIGUEZ","PARQUE HOTEL"
214,"CABOLUC INDUSTRIA E COMERCIO DE CABOS DE ACO E ACESSORIOS LTDA",45.626.579/0001-30,SUZANA,(11)2209-9900,"(11) 97565-512","São Paulo",SP,suzana@caboluc.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",02142020,381,EMPRESA,"RUA CABO JOAO MONTEIRO ROCHA","PARQUE NOVO MUNDO"
215,"ENERGY TECH SOLUCOES ELETRICAS LTDA",24.099.815/0001-38,"ANA VICTORIA",1132511804,"11 93331-7989","São Paulo",SP,comercial@energytech.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",04727140,9,EMPRESA,"RUA ALMELO","VILA CRUZEIRO"
216,"BALDAN INDUSTRIA E COMERCIO DE MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA",03.321.768/0001-55,RENALDO,1632216500,1633836581,Matão,SP,rfsilva@baldan.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",15993000,1500,EMPRESA,"AVENIDA BALDAN","NOVA MATAO"
217,"JOTIPAR COMERCIO LTDA",50.129.219/0001-63,CLODOALDO,1296482121,,"São José dos Campos",SP,vendas.jotipar@gmail.com,30DDL,"FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",12245100,664,"LOJA  652D","RUA DOUTOR MARIO SAMPAIO MARTINS","JARDIM SAO DIMAS"
218,"LEAR DO BRASIL INDUSTRIA E COMERCIO DE INTERIORES AUTOMOTIVOS LTDA.",01.998.585/0001-43,RODRIGO,4738016600,4738016627,Caçapava,EX,RMendes@lear.com,30DDL,"FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",12286325,251,EMPRESA,"AVENIDA ADHEMAR PINTO DE SIQUEIRA","VILA GALVAO"
219,"FERRABRAZ - T. VILAS BOAS SIMOES FERRAMENTAS",10.924.492/0001-65,RAFAELA,1120319424,,"São Paulo",SP,rafaela@ferrabraz.com,"30 DDL"," FOB- Posto na Transportadora em Porto Feliz-SP",03727010,150,EMPRESA,"RUA MARILUZ","ENGENHEIRO GOULART"
220,"MAGNA DO BRASIL PRODUTOS E SERVICOS AUTOMOTIVOS LTDA",00.970.934/0001-56,RAFAEL,1938267300,1938267319,Vinhedo,SP,rafael.Camargo@magna.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13288003,S/N,"KM 79.5 LADO ESQUERDO","RODOVIA MIGUEL MELHADO CAMPOS","DISTRITO INDUSTRIAL BENEDITO STORANI"
221,"MAMMOET BRASIL GUINDASTES LTDA.",11.426.377/0001-23,MAGNO,(11)8238-7830,1193008-0169,"São Paulo",SP,magno.Santos@mammoet.com,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",05536900,519,"Loja 77","null Rua Carlos Lisdegno Carlucci","Jardim Peri Peri"
222,"SCANIA LATIN AMERICA LTDA",59.104.901/0001-76,TEREZINHA,1143449333,,"São Bernardo do Campo",SP,terezinha.mota@scania.com,28DDL,"CIF - Posto na Scania – S.B.do Campo - SP",09810902,151,EMPRESA,"AVENIDA JOSE ODORIZZI","VL EURO"
223,"CABOLUC INDUSTRIA E COMERCIO DE CABOS DE ACO E ACESSORIOS LTDA",45.626.579/0001-30,EDMILSON,(11)2209-9900,"(11)99765-5121 ","São Paulo",SP,edmilson@caboluc.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",02142020,381,EMPRESA,"RUA CABO JOAO MONTEIRO ROCHA","PARQUE NOVO MUNDO"
224,"CABOLUC INDUSTRIA E COMERCIO DE CABOS DE ACO E ACESSORIOS LTDA",45.626.579/0001-30,FERNANDO,1122099900,,"São Paulo",SP,fernando@caboluc.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",02142020,381,EMPRESA,"RUA CABO JOAO MONTEIRO ROCHA","PARQUE NOVO MUNDO"
225,"FLSMIDTH LTDA.",33.194.200/0001-81,CRISTHIANO,(31)3416-7574,1534167574,Votorantim,SP,cristhiano.ramos@flsmidth.com,30DDL,"FOB - POSTO NA TRANSPORTADORA EM POSRTO FELIZ - SP",18116710,264,"E 329, AREA A ANDAR 1","RUA JOSE DOLLES","JARDIM CLARICE II"
226,"POLO COMERCIO E SERVICOS LTDA",01.113.887/0001-97,MAURICIO,1155237961,,"São Paulo",SP,mauriciovaro@polocs.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTI FELIZ-SP",04785000,480,EMPRESA,"AVENIDA PASCOAL DA ROCHA FALCAO","JARDIM SANTA HELENA"
227,"CRB FLORESTAL COMERCIO DE PECAS E SERVICOS LTDA",27.082.152/0001-37,CINTHIA,1171312767,1535421177,Salesópolis,SP,cinthia@crbflorestal.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",08970000,94,EMPRESA,"RUA SAO SEBASTIAO",FARTURA
228,"MOLTEC INDUSTRIA E COMERCIO DE MOLDES LTDA",43.018.225/0001-88,SANDRA,1156934600,,"São Paulo",SP,sandra.moraes@moltec.com.br,"30 DDL","FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ- SP",04766001,1.271,EMPRESA,"RUA OLIVIA GUEDES PENTEADO",SOCORRO
229,"ARGOM MAQUINAS EQUIPAMENTOS COMERCIAIS INDUSTRIAIS E SERVICOS LTDA",32.287.721/0001-10,VITOR,2133152506,,"Rio de Janeiro",RJ,comercial5@argom-equipamentos.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",20920290,00020,EMPRESA,"null Travessa Marechal Aguiar",Benfica
230,"FIXPAR COMERCIO DE PARAFUSOS E FERRAMENTAS LTDA",15.289.808/0001-08,DOUGLAS,4791452501,,Joinville,SC,compras@fixpar.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",89237001,8533,"SALA  C","RUA QUINZE DE NOVEMBRO","VILA NOVA"
231,"C.J. ENERGETICA S.A.",04.098.073/0002-08,ANDRE,"(54) 3698-3008",,Barracão,RS,andre.martinelli@cjenergetica.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",95370000,S/N,EMPRESA,"ESTRADA MUNICIPAL DE BARRACAO, KM 25","CAPELA STA TEREZINHA"
232,"LUMAR METALURGICA LTDA",03.945.943/0001-85,SAULO,3138281000,,"Santana do Paraíso",MG,saulo.reis@lumarmetals.com.br,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",35179000,70,EMPRESA,"RODOVIA BR 232","EXPANSAO INDUSTRIAL"
233,"GBJ METALMECANICA LTDA",04.663.056/0001-87,THIAGO,2733285152,,Serra,ES,thiago.aguiar@gbj-es.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",29168062,243,"QUADRA: XV LOTE: 008;","RUA 7","CIVIT II"
234,"ADM DO BRASIL LTDA",02.003.402/0007-60,RAMON,1151853500,1151853649,Santos,SP,Ramon.AmorimBarreto@adm.com,30DDL,"FOB - Posto na transportadora em Porto Feliz-SP",11020300,S/N,"ARMZ  39 , XLI  E  XLIII","AVENIDA GOVERNADOR MARIO COVAS JR",ESTUARIO
235,"WURTH SW INDUSTRY PECAS DE FIXACAO LTDA",44.170.801/0001-70,ARNALDO,1138836300,,"São Bernardo do Campo",SP,arnaldodoretto@wurthindustry.com.br,30DDL,"FOB - Posto na transportadora em Porto Feliz - SP",09860065,542,"GALPAO1 E 2","RUA CARLOS AYRES","JARDIM VERA CRUZ"
236,"METALFRESA INDUSTRIA METALURGICA LTDA",04.214.187/0001-87,DIEGO,5134717100,,Cachoeirinha,RS,diego@metalfresa.com.br,30DDL,"FOB- Posto na Transportadora em Porto Feliz-SP",94940030,290,"PAVLH 05","RUA CAI","PRINCESA ISABEL"
237,"INGUANTI ENGENHARIA LTDA",15.066.495/0001-29,REGINALDO,1122334455,,"São José dos Campos",SP,tecno1@iguanti.com.br,30DDL,"FOB-Posto na Transportadora – Porto Feliz - SP",12224120,15894,EMPRESA,"AVENIDA CAMERINO PEREIRA DOS SANTOS","JARDIM MOTORAMA"
238,"CAMPIBRAS COMERCIO DE FERRAMENTAS PNEUMATICAS LTDA.",01.004.418/0001-30,SIMON,1932425881,,Campinas,SP,campibras@campibras.com.br,30DDL,"FOB - Posto na transportadora em Porto Feliz-SP",13063140,648,"670 E 680","RUA DOUTOR EDUARDO EDARGE BADARO","JARDIM EULINA"
239,"CLAUDEMIR ANTONIO PELEGRIN",27.646.409/0001-36,CLAUDEMIR,1141484646,,Jandira,SP,claudemir@caprojet.com.br,30DDL,"FOB - Posto na transportadora em Porto Feliz-SP",06600080,322,"LOJA  2","RUA CONCEICAO SAMMARTINO",CENTRO
240,"FERRO EQUIPAMENTO INDUSTRIAL LTDA",15.797.607/0001-11,BRUNA,1935434444,,Araras,SP,blombi@ferroindustria.com.br,30DDL,"FOB - Posto na transportadora em Porto Feliz-SP",13609620,3400,"Km 163 Anexo Fazenda Sant Ana","null Avenida Maria Virginia Pacifico Homem Ometto","Distrito Industrial Vi"
241,"PRENSACABO CABOS DE ACO E ACESSORIOS LTDA",05.404.386/0001-10,SEBASTIAO,2227594004,,Macaé,RJ,comercial@prensacabo.com.br,30DDL,"FOB - Posto na transportadora em Porto Feliz-SP",27965085,185,EMPRESA,"AVENIDA RAPHAEL CHRYSANTO SAMPAIO GUERRA","SAO JOSE DO BARRETO"
242,"PPC SANTANA EQUIPAMENTOS ELETRICOS LTDA.",33.852.322/0001-18,ANDRE,(19)3893-9200,,Pedreira,SP,andre.ariolli@ppcinsulators.com.br,30DDL,"FOB- Posto na Transportadora em Porto Feliz-SP",13920-047,645,EMPRESA,"RUA ANTONIO PEDRO",CENTRO
243,"SUPERCAM FERRAMENTAS LTDA",07.799.746/0001-56,JONES,1143085014,,Diadema,SP,compras@supercam.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",09991000,896,EMPRESA,"AVENIDA DOM PEDRO I",CONCEICAO
244,"VICLAUZER INDUSTRIA E COMERCIO DE PRODUTOS METALURGICOS LTDA",59.245.100/0001-20,FELIPE,1532339688,,Sorocaba,SP,compras@viclauzer.com.br,30DDL,"FOB - Posto na Transportadora – Porto Feliz - SP",18086403,30,EMPRESA,"ALAMEDA SESI","CENTRO EMPRESARIAL SOROCABA"
245,"DUREN EQUIPAMENTOS INDUSTRIAIS - EM RECUPERACAO JUDICIAL LTDA",03.119.154/0001-95,EDMAR,1145437370,,Mauá,SP,edmar.souza@duren.com.br,30DDL,"FOB - Posto na Transportadora em Porto Feliz - SP",09372080,357,EMPRESA,"RUA DAS CAMELIAS","LOTEAMENTO INDUSTRIAL CORAL"
246,"MAB COMERCIO DE COMPONENTES DE GRUAS LTDA.",07.586.883/0001-02,ARNALDO,1935445877,1935446116,Itajaí,SC,administracao@mabgruas.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",88301401,950,"SALA  01- ESCRITORIO 28 B  EDIF EXCLUSIVE","RUA LAURO MULLER",FAZENDA
247,"44.310.797 ROBERTSON ANSELMO PEREIRA",44.310.797/0001-07,JANA,2196220029,,"Rio de Janeiro",RJ,rj.comercial02@gmail.com,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",23530075,2722,EMPRESA,"ESTRADA DA ESTIVA",SEPETIBA
248,"KARVEL BRASIL COMERCIO DE MAQUINAS EQUIPAMENTOS LTDA",43.945.529/0001-90,ANDREY,1147146169,,Barueri,SP,a.villanetti@karvel.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",06414060,241,"APT   122","RUA TERRA","JARDIM TUPANCI"
249,"PONTEBRAS - PONTES ROLANTES E TALHAS LTDA",13.485.331/0001-00,EMILIE,1141593260,,"Vargem Grande Paulista",SP,compras@pontebras.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",06730000,483,EMPRESA,"RUA ALFA","JARDIM RUTE MARIA"
250,"OTTANI INDUSTRIA E COMERCIO LTDA",00.988.704/0001-14,ALBERTO,1934387470,,Piracicaba,SP,alberto.forti@ottani.com.br,30DDL,"CIF - Posto na S/Fabrica em Piracicaba-SP.",13420280,"KM 13",EMPRESA,"RODOVIA MARGARIDA DA GRACA MARTINS","AGUA SECA"
251,"BRAVA SOLUCOES COMERCIAL LTDA",19.895.512/0001-91,NATHALIA,2134355944,,"Rio de Janeiro",RJ,comercial14@bravasupply.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",21061751,01561,A,"ESTRADA ADHEMAR BEBIANO",INHAUMA
252,"ACRO CABOS DE ACO INDUSTRIA E COMERCIO LTDA",03.358.329/0004-60,JOICE,1122296002,,"São Paulo",SP,joice.leoni@acrocabo.com.br,30DDL," FOB - Posto na Transportadora em Porto Feliz-SP",02167010,1326,EMPRESA,"null Rua Nilton Coelho de Andrade","Parque Novo Mundo"
253,"MONATEC SOLUCOES INDUSTRIAIS LTDA",14.410.645/0001-07,RAFAEL,(11)3522-8443," 1195318-6011","Rio Grande da Serra",SP,rafael@monatecsolucoes.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",09450000,41,"CASA  02","RUA SAO MATEUS","JARDIM SANTA TEREZA"
254,"PRESTMIX FABRICACAO DE ARTEFATOS PLASTICOS LTDA",21.481.442/0001-77,JONES,7192641726,,Camaçari,BA,Jones_cb@hotmail.com,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",42813188,SN,"QUADRAD B - LOTE  1549","RUA SABIA","PARQUE REAL SERRA VERDE"
255,"ENGEMAX SERVICOS MECANICOS LTDA",35.854.426/0001-97,ERIK,1291964747,,Caçapava,SP,erik.oliveira@engemaxservicos.com,30DDL,"FOB- Posto na Transportadora em Porto Feliz-SP",12286215,11,EMPRESA,"RUA MARIA DURVALINA FUJARRA","VILA GALVAO"
256,"MECANICA BONFANTI SA",51.378.321/0001-65,MARCIO,1935734400,,Leme,SP,marcio.scavazza@bonfanti.com.br,"30 DDL","FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",13612410,1700,EMPRESA,"AVENIDA FERDINANDO MARCHI","DISTRITO INDUSTRIAL"
257,"SAFIRA AUTOMACAO COMERCIAL LTDA",27.013.781/0001-05,CLAUDINEIA,1134256632,,"São Paulo",SP,claudineia@safiraautomacao.com.br,"30 DDL","FOB – Posto na Transportadora em Porto Feliz - SP",02514050,99,"ANEXO 101","RUA ARPUI","CASA VERDE"
258,"EMPREITEC CONSTRUCOES ELETRICAS LTDA",33.534.793/0001-88,EDSON,1124032600,1124032600,Guarulhos,SP,edson.batista@empreitec.com.br,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",07122100,122,EMPRESA,"RUA CAPETINGA","BOM CLIMA"
259,"SOCIEDADE DOS CABOS INDUSTRIA E COMERCIO DE FERRO E ACO LTDA",10.704.771/0001-13,EDMAR,1132270066,,Osasco,SP,frain@movimentacargas.com.br,30DDL,"FOB - Posto na Transportadora em Porto Feliz - SP",06273090,410,EMPRESA,"RUA ALMIRANTE TAMANDARE","VILA MENCK"
260,"ANDRITZ HYDRO LTDA.",02.216.876/0002-86,ANGELO,1141330000,,Araraquara,SP,angelo.pereira@andritz.com,"30 DDL","FOB - Posto na Transportadora em Porto Feliz - SP",14806500,2445,"Edif H - Piso Superior","null Avenida Manuel de Abreu","Vila Sedenho"
261,"DALLON METAIS E DERIVADOS LTDA",02.631.144/0001-71,WELLIGTON,4335115000,,Jacarezinho,PR,"compras2,jcr@dallon.com.br","30 DDL","FOB - Posto na transportadora em Porto Feliz-SP",86400000,S/N,"KM 8","RODOVIA BR 153","PARQUE INDUSTRIAL"
262,"DYNAMIS EQUIPAMENTOS E SERVICOS LTDA",46.882.952/0001-87,IGOR,2797850265,,Serra,ES,"igor.brito@dynamis-br.com ",30DDL,"FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",29161414,S/N,"GALPAO17 MODULO 13 E 14   SALA  08","AVENIDA SETECENTOS","TERMINAL INTERMODAL DA SERRA"
263,"SIDERURGICA SAO JOAQUIM SOCIEDADE ANONIMA",45.365.541/0001-51,IGOR,1638101436,,"São Joaquim da Barra",SP,igor.araujo@saojoaquimlaminacao.com.br,"30 DDL","FOB - Posto na transportadora em Porto Feliz - SP",14600000,"S N","Km 383 5","null Rodovia Anhanguera",S/B
264,"OCEAN PETRO COMERCIO LTDA",36.758.742/0001-28,GISELE,2180258006,,"Rio de Janeiro",RJ,comercial3@oceanpetro.com.br,30DDL,"FOB - Posto na Transportadora em Porto Feliz-SP",21031100,00034,"E 34A","RUA OPERARIO FORTES",RAMOS
265,"JRM SERVICOS E VENDAS DE EQUIPAMENTOS DE MOVIMENTACAO DE CARGA LTDA",43.912.692/0001-57,JANAELSON,1233028107,,Jacareí,SP,comercial.sp2@jrm.net.br,30DDL," FOB - Posto na Transportadora – Porto Feliz - SP",12302200,70,GALPAO03,"ESTRADA DO IMPERADOR","JARDIM RIO COMPRIDO"
266,"ZEPPELIN SYSTEMS LATIN AMERICA EQUIPAMENTOS INDUSTRIAIS LTDA",47.898.135/0001-80,JAMES,1143939431,1143939400,"São Bernardo do Campo",SP,"james.souza@zeppelin.com         ",30DDL,"CIF – ENVIADO VIA SEDEX",09851707,650,,"RUA JOAO XXIII",COOPERATIVA
